Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,168/342,.491,55/77,.714,45,436,80,273,128,49,25,47,2.72,46,23
甄姬拔菜,201/385,.522,88/119,.739,43,533,61,257,127,42,23,56,2.27,42,23
Alex's Team,174/328,.530,43/57,.754,34,425,49,186,74,24,19,52,1.42,37,23
Luke's Team,147/270,.544,68/101,.673,44,406,25,137,127,24,16,47,2.70,38,23
CWB Shams,174/369,.472,79/97,.814,63,490,30,112,132,26,12,45,2.93,43,23
离岛落得慢,120/235,.511,42/56,.750,48,330,21,97,98,20,8,41,2.39,36,23
Michael Chow's Team,177/367,.482,62/76,.816,46,462,57,188,119,42,26,69,1.72,42,23
达里安人阿闹,122/269,.454,71/97,.732,28,343,46,168,121,25,17,44,2.75,39,23
