Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,197/374,.527,91/122,.746,27,512,79,286,170,34,44,56,3.04,42,14
Michael Chow's Team,229/455,.503,72/92,.783,72,602,22,163,169,30,15,68,2.49,43,14
Alex's Team,231/485,.476,76/95,.800,59,597,74,266,136,36,43,64,2.13,41,14
CWB Shams,225/438,.514,64/75,.853,74,588,27,149,143,38,16,59,2.42,38,14
Deng's Team,162/338,.479,69/88,.784,36,429,49,207,88,20,26,39,2.26,44,14
Goodtime Brother,228/457,.499,119/138,.862,69,644,42,183,187,27,14,101,1.85,44,14
GiannisISmySON,266/568,.468,109/142,.768,63,704,37,216,161,37,23,62,2.60,44,14
甄姬拔菜,207/412,.502,98/122,.803,48,560,58,244,143,39,28,74,1.93,44,14
Kojima Production,278/552,.504,133/164,.811,97,786,34,188,141,33,7,67,2.10,40,14
sean's Dazzling Team,111/227,.489,41/54,.759,30,293,36,102,54,20,15,25,2.16,32,14
Luke's Team,232/474,.489,128/173,.740,52,644,58,241,192,53,22,81,2.37,48,14
离岛落得慢,179/362,.494,76/88,.864,65,499,28,135,120,29,15,45,2.67,35,14
TST WATER CANNON,175/381,.459,74/91,.813,52,476,24,176,74,32,17,41,1.80,37,14
达里安人阿闹,212/417,.508,65/99,.657,49,538,59,246,119,35,35,62,1.92,45,14
