Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,153/292,.524,72/107,.673,27,405,68,263,133,41,23,53,2.51,43,12
TST WATER CANNON,137/278,.493,57/72,.792,36,367,27,135,72,25,17,42,1.71,33,12
Alex's Team,272/531,.512,97/123,.789,88,729,76,319,155,38,48,74,2.09,45,12
达里安人阿闹,202/422,.479,96/124,.774,49,549,41,201,104,36,20,47,2.21,41,12
CWB Shams,233/471,.495,95/109,.872,85,646,39,186,154,41,18,71,2.17,42,12
离岛落得慢,244/550,.444,109/131,.832,87,684,49,198,163,48,17,79,2.06,44,12
Deng's Team,196/401,.489,73/97,.753,48,513,62,224,116,30,19,62,1.87,41,12
sean's Dazzling Team,121/272,.445,59/85,.694,29,330,40,141,89,26,20,42,2.12,34,12
GiannisISmySON,161/397,.406,71/91,.780,53,446,40,142,105,29,11,49,2.14,39,12
Luke's Team,202/408,.495,100/145,.690,43,547,69,224,133,40,26,78,1.71,43,12
Goodtime Brother,199/428,.465,109/132,.826,64,571,26,143,137,42,14,72,1.90,43,12
Michael Chow's Team,174/379,.459,50/65,.769,73,471,22,131,138,31,19,57,2.42,40,12
Kojima Production,279/573,.487,115/145,.793,89,762,46,227,161,49,18,63,2.56,41,12
甄姬拔菜,221/394,.561,96/122,.787,39,577,73,274,141,44,23,56,2.52,48,12
