Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,219/466,.470,106/128,.828,70,614,71,235,137,34,32,79,1.73,39,16
Goodtime Brother,215/479,.449,130/167,.778,47,607,39,212,159,43,36,87,1.83,46,16
Alex's Team,222/422,.526,87/123,.707,36,567,51,222,102,25,18,64,1.59,46,16
达里安人阿闹,227/489,.464,115/145,.793,56,625,69,278,147,52,18,65,2.26,42,16
CWB Shams,272/581,.468,102/127,.803,80,726,46,220,143,44,11,70,2.04,46,16
Deng's Team,186/386,.482,104/144,.722,37,513,59,232,133,42,12,64,2.08,39,16
GiannisISmySON,201/423,.475,71/101,.703,51,524,49,232,115,21,20,66,1.74,40,16
Kojima Production,206/466,.442,126/159,.792,68,606,36,198,161,33,15,79,2.04,39,16
Luke's Team,282/555,.508,169/202,.837,82,815,70,237,161,41,19,60,2.68,47,16
sean's Dazzling Team,189/404,.468,85/112,.759,80,543,21,143,99,24,9,60,1.65,39,16
Michael Chow's Team,220/392,.561,57/85,.671,29,526,103,344,136,31,32,60,2.27,42,16
离岛落得慢,245/522,.469,135/169,.799,62,687,55,250,167,37,22,89,1.88,41,16
TST WATER CANNON,169/387,.437,136/168,.810,50,524,26,158,117,28,17,63,1.86,42,16
甄姬拔菜,225/438,.514,98/117,.838,38,586,60,245,112,30,32,51,2.20,41,16
