Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,234/496,.472,127/157,.809,51,646,64,232,147,37,40,75,1.96,45,12
GiannisISmySON,253/558,.453,99/127,.780,65,670,47,261,126,47,29,73,1.73,45,12
Alex's Team,245/462,.530,152/207,.734,39,681,78,300,148,30,42,104,1.42,42,12
Kojima Production,263/529,.497,160/193,.829,110,796,42,187,142,37,11,82,1.73,47,12
CWB Shams,222/491,.452,88/100,.880,76,608,42,163,94,35,15,46,2.04,43,12
离岛落得慢,241/547,.441,142/180,.789,64,688,60,275,183,32,29,78,2.35,42,12
Deng's Team,227/502,.452,143/180,.794,51,648,50,267,142,46,13,84,1.69,43,12
达里安人阿闹,236/545,.433,134/157,.854,67,673,69,344,164,50,30,55,2.98,44,12
Goodtime Brother,231/501,.461,131/159,.824,42,635,40,207,133,41,30,76,1.75,47,12
TST WATER CANNON,268/560,.479,124/146,.849,91,751,43,199,173,44,19,56,3.09,42,12
Luke's Team,258/511,.505,116/151,.768,60,692,63,245,124,39,34,81,1.53,44,12
甄姬拔菜,188/407,.462,90/107,.841,57,523,54,231,134,41,27,51,2.63,44,12
Michael Chow's Team,183/339,.540,58/89,.652,33,457,69,294,152,40,32,69,2.20,45,12
sean's Dazzling Team,286/600,.477,153/191,.801,79,804,40,191,141,32,20,89,1.58,45,12
