Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,223/465,.480,98/119,.824,61,605,48,217,133,34,28,82,1.62,41,3
Goodtime Brother,184/394,.467,109/136,.801,33,510,62,219,122,52,32,72,1.69,40,3
Alex's Team,222/410,.541,91/121,.752,29,564,46,193,120,23,25,75,1.60,38,3
达里安人阿闹,180/389,.463,86/105,.819,52,498,59,256,114,32,17,54,2.11,36,3
CWB Shams,234/521,.449,97/122,.795,83,648,34,177,151,41,17,69,2.19,39,3
Deng's Team,159/322,.494,62/75,.827,49,429,32,164,140,40,22,78,1.79,37,3
GiannisISmySON,227/478,.475,77/113,.681,59,590,61,240,143,41,35,72,1.99,37,3
Kojima Production,178/375,.475,81/96,.844,53,490,25,138,110,23,10,73,1.51,38,3
Luke's Team,242/520,.465,96/110,.873,74,654,52,224,118,32,23,70,1.69,42,3
sean's Dazzling Team,254/553,.459,137/160,.856,87,732,41,204,156,30,25,102,1.53,41,3
Michael Chow's Team,194/392,.495,56/76,.737,25,469,62,259,119,29,38,74,1.61,42,3
离岛落得慢,211/456,.463,113/135,.837,50,585,47,219,135,40,26,91,1.48,39,3
TST WATER CANNON,126/287,.439,42/53,.792,43,337,11,85,99,27,9,35,2.83,33,3
甄姬拔菜,181/337,.537,78/104,.750,39,479,45,183,98,20,26,56,1.75,39,3
