Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,234/478,.490,104/131,.794,61,633,47,199,115,23,27,76,1.51,39,8
Kojima Production,214/472,.453,127/155,.819,68,623,46,204,134,38,13,92,1.46,46,8
Alex's Team,244/461,.529,127/160,.794,37,652,66,278,131,41,31,87,1.51,41,8
Luke's Team,248/536,.463,108/139,.777,68,672,42,200,142,25,19,81,1.75,41,8
CWB Shams,281/631,.445,85/100,.850,105,752,36,191,133,39,23,86,1.55,42,8
Goodtime Brother,203/429,.473,135/164,.823,46,587,36,220,185,50,18,83,2.23,38,8
Deng's Team,222/437,.508,86/120,.717,47,577,42,204,157,39,19,77,2.04,43,8
sean's Dazzling Team,258/547,.472,87/106,.821,86,689,42,188,95,32,13,81,1.17,42,8
GiannisISmySON,149/306,.487,84/110,.764,36,418,39,159,65,28,18,39,1.67,42,8
Michael Chow's Team,158/284,.556,73/101,.723,25,414,85,268,97,39,20,56,1.73,38,8
TST WATER CANNON,209/411,.509,124/141,.879,67,609,42,182,145,31,22,71,2.04,39,8
达里安人阿闹,198/456,.434,98/119,.824,63,557,46,231,104,36,15,59,1.76,46,8
甄姬拔菜,202/375,.539,77/100,.770,51,532,59,216,112,33,30,47,2.38,40,8
离岛落得慢,258/559,.462,147/177,.831,82,745,52,259,168,43,17,90,1.87,43,8
