Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,252/509,.495,133/175,.760,44,681,61,238,146,35,37,90,1.62,43,7
离岛落得慢,257/521,.493,93/118,.788,78,685,58,226,143,38,10,83,1.72,41,7
Alex's Team,255/488,.523,117/167,.701,49,676,68,264,162,40,35,102,1.59,45,7
Goodtime Brother,182/405,.449,133/153,.869,30,527,46,160,142,49,25,75,1.89,43,7
CWB Shams,225/501,.449,90/107,.841,88,628,37,155,118,36,18,68,1.74,41,7
Michael Chow's Team,176/319,.552,65/88,.739,27,444,74,258,105,33,22,63,1.67,44,7
Deng's Team,220/442,.498,73/111,.658,58,571,57,243,151,41,16,80,1.89,38,7
TST WATER CANNON,155/364,.426,77/93,.828,41,428,28,130,115,32,21,64,1.80,33,7
GiannisISmySON,205/433,.473,66/96,.688,66,542,40,213,133,33,31,58,2.29,46,7
甄姬拔菜,289/567,.510,128/164,.780,78,784,74,306,158,30,40,80,1.98,45,7
Kojima Production,221/465,.475,112/150,.747,70,624,41,159,124,32,9,76,1.63,40,7
sean's Dazzling Team,276/567,.487,145/176,.824,73,770,44,223,112,33,17,92,1.22,41,7
Luke's Team,253/511,.495,116/136,.853,73,695,27,165,141,33,22,71,1.99,43,7
达里安人阿闹,218/466,.468,87/106,.821,68,591,52,247,120,28,16,84,1.43,42,7
