Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,183/406,.451,93/114,.816,39,498,44,175,117,28,32,57,2.05,39,9
Deng's Team,208/436,.477,136/172,.791,59,611,55,238,140,37,18,79,1.77,41,9
Alex's Team,228/489,.466,144/196,.735,53,653,71,252,135,30,27,79,1.71,39,9
TST WATER CANNON,193/395,.489,86/116,.741,71,543,31,154,130,32,17,61,2.13,34,9
CWB Shams,167/395,.423,72/92,.783,55,461,29,135,107,26,16,52,2.06,43,9
Luke's Team,258/556,.464,99/125,.792,92,707,38,235,140,34,18,86,1.63,44,9
GiannisISmySON,148/303,.488,61/87,.701,30,387,34,189,93,27,17,50,1.86,43,9
Goodtime Brother,205/431,.476,121/151,.801,51,582,43,214,153,37,19,74,2.07,41,9
Kojima Production,215/444,.484,109/130,.838,66,605,37,163,103,25,13,71,1.45,41,9
离岛落得慢,249/541,.460,124/151,.821,98,720,56,236,163,35,14,79,2.06,38,9
Michael Chow's Team,166/313,.530,56/78,.718,22,410,78,283,114,26,24,57,2.00,43,9
甄姬拔菜,171/385,.444,104/120,.867,41,487,47,179,108,30,30,51,2.12,41,9
sean's Dazzling Team,269/554,.486,137/167,.820,89,764,34,205,100,32,22,92,1.09,45,9
达里安人阿闹,235/464,.506,85/111,.766,66,621,43,227,92,31,18,70,1.31,41,9
