Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,201/410,.490,58/84,.690,51,511,53,224,128,25,39,59,2.17,44,19
达里安人阿闹,175/385,.455,89/116,.767,51,490,44,217,117,34,15,68,1.72,44,19
Alex's Team,230/446,.516,163/208,.784,41,664,53,218,134,36,33,78,1.72,45,19
sean's Dazzling Team,250/479,.522,108/134,.806,56,664,53,227,120,31,21,75,1.60,45,19
CWB Shams,244/514,.475,100/114,.877,74,662,31,191,157,39,11,71,2.21,46,19
TST WATER CANNON,254/521,.488,123/149,.826,81,712,40,180,168,41,17,60,2.80,44,19
Deng's Team,181/361,.501,112/135,.830,52,526,42,182,119,23,12,72,1.65,41,19
离岛落得慢,266/551,.483,116/146,.795,81,729,53,269,154,46,23,90,1.71,45,19
GiannisISmySON,230/462,.498,125/152,.822,65,650,43,214,141,33,14,72,1.96,42,19
Luke's Team,301/572,.526,173/212,.816,81,856,73,273,148,42,24,79,1.87,46,19
Goodtime Brother,231/458,.504,99/134,.739,57,618,61,228,167,54,35,78,2.14,47,19
Michael Chow's Team,210/405,.519,68/96,.708,46,534,70,261,143,38,37,68,2.10,39,19
Kojima Production,164/367,.447,86/99,.869,55,469,22,91,111,27,6,44,2.52,35,19
甄姬拔菜,248/489,.507,150/175,.857,63,709,56,224,131,36,42,57,2.30,47,19
