Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,172/423,.407,78/95,.821,35,457,43,172,147,32,20,75,1.96,40,5
Michael Chow's Team,206/357,.577,59/81,.728,23,494,65,247,118,34,33,74,1.59,37,5
Alex's Team,241/442,.545,116/157,.739,43,641,47,234,131,22,27,72,1.82,39,5
Deng's Team,148/334,.443,70/85,.824,42,408,39,176,113,30,13,61,1.85,42,5
CWB Shams,182/422,.431,70/81,.864,68,502,32,172,98,29,12,57,1.72,41,5
Kojima Production,226/519,.435,113/139,.813,69,634,41,163,159,37,14,56,2.84,38,5
GiannisISmySON,220/435,.506,110/139,.791,67,617,50,228,126,32,25,72,1.75,38,5
离岛落得慢,183/412,.444,88/111,.793,69,523,48,191,119,30,27,79,1.51,39,5
Goodtime Brother,186/389,.478,104/145,.717,45,521,46,177,119,28,11,66,1.80,33,5
sean's Dazzling Team,247/556,.444,168/201,.836,59,721,37,203,157,28,22,106,1.48,41,5
Luke's Team,226/504,.448,152/169,.899,76,680,40,174,131,40,22,54,2.43,42,5
TST WATER CANNON,161/353,.456,72/89,.809,58,452,32,142,90,21,20,54,1.67,30,5
甄姬拔菜,222/445,.499,90/116,.776,55,589,80,286,154,34,49,76,2.03,45,5
达里安人阿闹,201/437,.460,93/117,.795,65,560,45,230,144,26,20,81,1.78,39,5
