Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,152/319,.476,78/102,.765,34,416,43,167,109,29,17,36,3.03,38,10
sean's Dazzling Team,219/481,.455,114/147,.776,61,613,33,165,82,35,8,54,1.52,39,10
Alex's Team,221/421,.525,128/173,.740,30,600,64,235,128,33,38,68,1.88,38,10
GiannisISmySON,177/359,.493,72/86,.837,55,481,46,201,117,25,18,51,2.29,32,10
CWB Shams,168/364,.462,81/92,.880,60,477,31,165,108,32,14,65,1.66,37,10
甄姬拔菜,191/368,.519,68/95,.716,57,507,43,172,82,26,28,59,1.39,35,10
Deng's Team,168/358,.469,82/106,.774,51,469,43,214,118,33,11,63,1.87,32,10
Goodtime Brother,213/438,.486,112/137,.818,40,578,51,220,162,40,17,52,3.12,34,10
Kojima Production,209/434,.482,114/147,.776,72,604,31,172,115,25,6,65,1.77,32,10
Luke's Team,228/478,.477,78/102,.765,83,617,31,163,129,25,15,76,1.70,37,10
Michael Chow's Team,167/274,.609,54/71,.761,21,409,64,196,98,29,18,53,1.85,33,10
达里安人阿闹,197/415,.475,64/79,.810,68,526,50,208,81,33,13,49,1.65,34,10
TST WATER CANNON,175/402,.435,114/135,.844,60,524,24,165,127,33,12,52,2.44,35,10
离岛落得慢,245/493,.497,109/139,.784,72,671,46,240,162,28,14,95,1.71,32,10
