Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,170/327,.520,70/87,.805,32,442,38,150,144,23,29,59,2.44,38,6
达里安人阿闹,208/423,.492,85/109,.780,72,573,55,240,144,24,29,74,1.95,37,6
Alex's Team,277/509,.544,144/194,.742,50,748,61,246,158,37,24,99,1.60,39,6
sean's Dazzling Team,288/577,.499,150/176,.852,70,796,49,227,163,36,25,87,1.87,42,6
CWB Shams,178/433,.411,60/73,.822,54,470,31,144,83,38,13,61,1.36,37,6
TST WATER CANNON,166/329,.505,41/52,.788,71,444,26,138,90,28,13,46,1.96,37,6
Deng's Team,149/315,.473,83/120,.692,34,415,40,161,125,23,18,60,2.08,32,6
离岛落得慢,208/457,.455,118/142,.831,50,584,56,227,143,24,19,91,1.57,39,6
GiannisISmySON,226/476,.475,111/132,.841,65,628,40,221,111,44,27,75,1.48,41,6
Luke's Team,211/434,.486,97/114,.851,56,575,40,163,114,23,24,52,2.19,37,6
Goodtime Brother,242/517,.468,133/165,.806,48,665,64,250,156,57,23,91,1.71,41,6
Michael Chow's Team,165/304,.543,58/88,.659,17,405,68,258,123,36,34,71,1.73,38,6
Kojima Production,230/515,.447,128/153,.837,89,677,40,165,137,32,7,78,1.76,40,6
甄姬拔菜,245/478,.513,126/156,.808,66,682,48,245,159,44,37,71,2.24,40,6
