Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,233/449,.519,114/142,.803,62,642,57,246,142,40,28,68,2.09,44,17
Luke's Team,202/423,.478,133/152,.875,46,583,44,205,119,31,14,72,1.65,40,17
Alex's Team,211/416,.507,127/161,.789,40,589,39,175,143,29,24,53,2.70,41,17
甄姬拔菜,185/361,.512,79/99,.798,40,489,54,224,98,32,26,65,1.51,44,17
CWB Shams,245/523,.468,70/92,.761,79,639,33,187,114,32,14,60,1.90,41,17
达里安人阿闹,200/411,.487,77/99,.778,45,522,49,229,112,33,28,44,2.55,38,17
Deng's Team,156/331,.471,81/104,.779,29,422,45,204,113,36,23,62,1.82,38,17
GiannisISmySON,208/411,.506,93/107,.869,56,565,48,174,121,46,18,45,2.69,39,17
Goodtime Brother,190/410,.463,92/107,.860,34,506,27,157,174,36,23,66,2.64,42,17
离岛落得慢,232/470,.494,133/165,.806,71,668,29,182,144,24,13,78,1.85,37,17
Kojima Production,212/422,.502,125/158,.791,53,602,46,181,121,22,15,73,1.66,38,17
Michael Chow's Team,203/370,.549,60/85,.706,32,498,89,264,109,29,29,61,1.79,41,17
sean's Dazzling Team,188/424,.443,124/154,.805,48,548,36,165,91,20,24,55,1.65,46,17
TST WATER CANNON,155/305,.508,92/110,.836,36,438,21,115,104,30,14,44,2.36,37,17
