Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,238/528,.451,118/147,.803,59,653,54,234,166,38,27,64,2.59,45,21
Kojima Production,225/453,.497,102/130,.785,52,604,48,178,111,18,12,75,1.48,40,21
Alex's Team,178/339,.525,85/122,.697,25,466,51,183,106,21,19,60,1.77,33,21
Luke's Team,288/586,.491,152/188,.809,69,797,61,239,161,43,30,85,1.89,48,21
CWB Shams,252/546,.462,85/122,.697,84,673,40,195,142,48,20,77,1.84,42,21
Goodtime Brother,259/512,.506,141/175,.806,51,710,57,221,174,50,27,69,2.52,41,21
Deng's Team,178/368,.484,83/103,.806,54,493,56,202,122,30,16,53,2.30,42,21
sean's Dazzling Team,206/434,.475,94/116,.810,56,562,45,209,117,30,19,60,1.95,38,21
GiannisISmySON,158/319,.495,87/102,.853,42,445,42,164,143,20,15,53,2.70,33,21
Michael Chow's Team,174/347,.501,64/80,.800,48,460,47,198,124,29,22,48,2.58,33,21
TST WATER CANNON,207/428,.484,90/110,.818,62,566,30,176,160,33,21,61,2.62,41,21
达里安人阿闹,246/493,.499,95/130,.731,63,650,67,260,123,44,23,64,1.92,43,21
甄姬拔菜,192/396,.485,96/126,.762,43,523,64,216,81,25,35,47,1.72,44,21
离岛落得慢,229/462,.496,132/165,.800,47,637,60,290,145,34,10,64,2.27,43,21
