Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,205/462,.444,114/140,.814,54,578,66,255,143,37,42,65,2.20,45,18
Michael Chow's Team,301/561,.537,99/137,.723,67,768,99,342,146,46,31,89,1.64,54,18
Alex's Team,273/517,.528,140/187,.749,62,748,59,266,145,45,35,76,1.91,51,18
Deng's Team,229/427,.536,127/162,.784,48,633,84,294,157,42,16,74,2.12,45,18
CWB Shams,308/639,.482,132/167,.790,119,867,39,232,184,40,19,92,2.00,52,18
Kojima Production,249/558,.446,168/196,.857,66,732,35,164,157,35,14,80,1.96,49,18
GiannisISmySON,270/559,.483,120/143,.839,75,735,67,243,150,35,15,90,1.67,52,18
离岛落得慢,322/672,.479,132/164,.805,109,885,61,267,192,48,20,90,2.13,52,18
Goodtime Brother,223/482,.463,118/145,.814,48,612,43,224,173,49,33,78,2.22,52,18
sean's Dazzling Team,270/548,.493,84/105,.800,82,706,61,290,103,25,27,99,1.04,52,18
Luke's Team,312/671,.465,139/178,.781,78,841,65,269,183,43,26,93,1.97,52,18
TST WATER CANNON,253/550,.460,142/165,.861,79,727,41,232,178,45,30,80,2.23,48,18
甄姬拔菜,261/477,.547,98/121,.810,57,677,86,326,132,48,53,54,2.44,52,18
达里安人阿闹,228/474,.481,108/128,.844,58,622,68,299,121,25,23,80,1.51,54,18
