Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,258/514,.502,98/132,.742,57,671,61,219,172,37,33,77,2.23,39,20
离岛落得慢,180/410,.439,104/137,.759,44,508,34,188,108,34,19,68,1.59,38,20
Alex's Team,184/368,.500,62/87,.713,32,462,55,190,106,25,28,49,2.16,41,20
Goodtime Brother,172/371,.464,84/110,.764,40,468,35,175,119,47,20,54,2.20,37,20
CWB Shams,215/468,.459,82/96,.854,83,595,32,163,113,41,24,56,2.02,41,20
Michael Chow's Team,200/389,.514,92/119,.773,42,534,70,285,156,36,28,73,2.14,45,20
Deng's Team,205/401,.511,101/132,.765,44,555,60,222,121,32,20,61,1.98,39,20
TST WATER CANNON,223/480,.465,152/174,.874,65,663,30,177,173,42,24,72,2.40,41,20
GiannisISmySON,157/315,.498,73/91,.802,51,438,35,143,94,27,10,60,1.57,40,20
甄姬拔菜,202/435,.464,113/142,.796,61,578,56,222,121,44,28,51,2.37,40,20
Kojima Production,243/511,.476,113/136,.831,73,672,33,143,126,32,8,79,1.59,36,20
sean's Dazzling Team,213/398,.535,72/99,.727,46,544,34,194,124,22,16,61,2.03,48,20
Luke's Team,257/508,.506,96/112,.857,68,678,58,196,146,40,34,95,1.54,42,20
达里安人阿闹,248/495,.501,113/137,.825,70,679,71,293,175,38,17,85,2.06,40,20
