Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,181/393,.461,64/80,.800,60,486,43,187,135,25,17,54,2.50,43,24
Michael Chow's Team,158/288,.549,60/80,.750,43,419,38,207,147,41,18,66,2.23,40,24
Goodtime Brother,168/345,.487,75/97,.773,42,453,31,138,104,24,21,52,2.00,36,24
离岛落得慢,68/114,.596,31/36,.861,16,183,15,62,36,11,8,16,2.25,26,24
Luke's Team,149/293,.509,63/91,.692,48,409,40,153,75,22,26,39,1.92,43,24
甄姬拔菜,167/355,.470,88/109,.807,44,466,54,199,82,25,30,41,2.00,43,24
TST WATER CANNON,198/423,.468,73/93,.785,53,522,41,182,149,22,21,52,2.87,41,24
达里安人阿闹,227/477,.476,96/120,.800,56,606,51,267,144,31,43,68,2.12,42,24
