Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,249/491,.507,86/118,.729,72,656,46,197,169,39,26,71,2.38,42,15
甄姬拔菜,184/395,.466,75/95,.789,45,488,61,200,98,34,26,48,2.04,38,15
Alex's Team,200/389,.514,101/147,.687,33,534,47,203,138,29,17,66,2.09,44,15
Michael Chow's Team,188/359,.524,68/98,.694,19,463,69,257,94,23,23,72,1.31,43,15
CWB Shams,254/512,.496,57/72,.792,72,637,31,163,144,30,13,61,2.36,41,15
GiannisISmySON,166/345,.481,50/66,.758,57,439,40,156,97,34,13,69,1.41,41,15
Deng's Team,152/331,.459,67/91,.736,33,404,30,177,88,27,14,60,1.47,39,15
Luke's Team,248/477,.520,110/136,.809,59,665,50,209,133,32,29,81,1.64,43,15
Goodtime Brother,249/449,.555,108/131,.824,54,660,43,196,164,45,31,62,2.65,41,15
达里安人阿闹,254/515,.493,76/102,.745,60,644,73,295,145,41,31,70,2.07,42,15
Kojima Production,218/479,.455,121/146,.829,58,615,37,183,113,47,17,66,1.71,38,15
TST WATER CANNON,180/371,.485,103/125,.824,78,541,24,135,145,35,22,58,2.50,32,15
sean's Dazzling Team,249/535,.465,152/193,.788,72,722,44,208,128,34,26,94,1.36,43,15
离岛落得慢,253/543,.466,110/140,.786,85,701,60,249,176,37,22,61,2.89,45,15
