Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,301/562,.536,158/211,.749,82,842,76,277,189,39,46,81,2.33,41,14
Alex's Team,168/350,.480,79/111,.712,31,446,38,142,102,22,30,53,1.92,42,14
CWB Shams,301/585,.515,87/104,.837,89,778,25,191,168,60,20,71,2.37,48,14
sean's Dazzling Team,203/451,.450,107/132,.811,71,584,41,191,89,22,11,70,1.27,41,14
Deng's Team,209/405,.516,105/132,.795,45,568,46,176,117,33,14,60,1.95,38,14
Kojima Production,207/467,.443,161/188,.856,68,643,24,142,141,32,10,83,1.70,40,14
GiannisISmySON,214/470,.455,105/124,.847,70,603,44,212,126,37,28,64,1.97,47,14
TST WATER CANNON,256/515,.497,108/137,.788,75,695,48,229,143,45,26,63,2.27,41,14
Goodtime Brother,153/318,.481,83/102,.814,31,420,43,151,113,42,18,61,1.85,38,14
甄姬拔菜,184/381,.483,88/115,.765,58,514,58,218,101,39,36,49,2.06,49,14
Luke's Team,220/502,.438,133/151,.881,73,646,47,183,150,24,25,84,1.79,40,14
Michael Chow's Team,229/402,.570,58/84,.690,22,538,99,290,164,44,32,80,2.05,41,14
离岛落得慢,266/590,.451,127/169,.751,67,726,75,272,212,23,21,79,2.68,42,14
达里安人阿闹,250/485,.515,131/164,.799,76,707,62,275,147,38,19,65,2.26,40,14
