Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,246/528,.466,92/129,.713,75,659,61,216,176,37,30,80,2.20,42,4
Luke's Team,230/544,.423,116/145,.800,64,640,60,260,149,36,27,89,1.67,42,4
Alex's Team,196/370,.530,107/134,.799,37,536,33,169,158,37,17,65,2.43,42,4
甄姬拔菜,226/457,.495,80/102,.784,65,597,67,217,133,37,28,63,2.11,40,4
CWB Shams,215/519,.414,76/98,.776,67,573,34,178,115,40,18,80,1.44,43,4
达里安人阿闹,208/432,.481,101/125,.808,56,573,48,257,128,28,18,72,1.78,39,4
Deng's Team,232/504,.460,125/160,.781,68,657,53,237,182,49,26,82,2.22,35,4
GiannisISmySON,236/472,.500,126/151,.834,64,662,46,235,143,36,24,81,1.77,42,4
Goodtime Brother,186/376,.495,106/139,.763,31,509,67,226,117,42,38,81,1.44,44,4
离岛落得慢,226/463,.488,86/119,.723,86,624,53,197,110,29,17,74,1.49,43,4
Kojima Production,218/442,.493,100/125,.800,75,611,36,153,119,29,14,71,1.68,38,4
Michael Chow's Team,193/372,.519,70/105,.667,17,473,101,358,126,24,15,88,1.43,42,4
sean's Dazzling Team,300/588,.510,167/198,.843,85,852,36,230,139,27,19,84,1.65,41,4
TST WATER CANNON,189/405,.467,103/123,.837,61,542,35,168,107,35,22,60,1.78,44,4
