Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,250/539,.464,134/166,.807,58,692,67,251,161,42,39,81,1.99,45,11
CWB Shams,263/532,.494,108/121,.893,92,726,30,176,125,42,19,59,2.12,43,11
Alex's Team,197/374,.527,87/125,.696,39,520,68,233,110,28,36,63,1.75,37,11
离岛落得慢,300/619,.485,183/230,.796,83,866,76,285,204,36,25,77,2.65,43,11
Deng's Team,236/437,.540,107/131,.817,64,643,51,247,160,43,19,61,2.62,44,11
甄姬拔菜,187/392,.477,71/82,.866,55,500,55,183,126,38,31,51,2.47,43,11
GiannisISmySON,250/470,.532,91/114,.798,85,676,46,221,120,19,17,67,1.79,43,11
sean's Dazzling Team,294/598,.492,174/212,.821,78,840,39,231,150,25,23,105,1.43,46,11
Goodtime Brother,230/474,.485,120/165,.727,46,626,65,264,158,47,35,95,1.66,44,11
Luke's Team,175/408,.429,98/127,.772,53,501,59,189,83,33,27,59,1.41,40,11
Kojima Production,194/447,.434,94/116,.810,64,546,34,149,136,27,9,78,1.74,44,11
达里安人阿闹,236/541,.436,110/128,.859,76,658,78,315,137,40,28,60,2.28,47,11
Michael Chow's Team,145/270,.537,62/88,.705,19,371,82,249,106,32,26,58,1.83,42,11
TST WATER CANNON,202/397,.509,83/100,.830,65,552,26,157,113,29,14,63,1.79,37,11
