Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,232/452,.513,73/95,.768,68,605,61,196,133,29,26,68,1.96,43,13
TST WATER CANNON,236/493,.479,131/157,.834,72,675,37,185,151,34,27,73,2.07,40,13
Alex's Team,274/554,.495,125/160,.781,57,730,86,310,156,42,45,72,2.17,45,13
CWB Shams,214/478,.448,88/105,.838,78,594,41,166,141,36,22,68,2.07,42,13
Deng's Team,187/428,.437,106/143,.741,50,530,48,251,135,28,18,68,1.99,44,13
Michael Chow's Team,154/300,.513,58/77,.753,19,385,70,247,127,24,24,46,2.76,39,13
GiannisISmySON,200/413,.484,66/91,.725,59,525,52,210,138,38,16,49,2.82,41,13
达里安人阿闹,244/485,.503,139/171,.813,56,683,55,295,116,46,20,77,1.51,41,13
Goodtime Brother,182/395,.461,95/118,.805,44,503,44,215,139,49,35,71,1.96,46,13
Kojima Production,238/537,.443,142/178,.798,81,699,15,166,132,38,9,68,1.94,40,13
Luke's Team,315/610,.516,121/147,.823,108,859,55,226,159,31,27,67,2.37,48,13
离岛落得慢,214/426,.502,121/157,.771,46,595,48,198,135,20,12,78,1.73,38,13
sean's Dazzling Team,250/530,.472,124/151,.821,65,689,46,209,109,18,14,67,1.63,43,13
甄姬拔菜,147/297,.495,67/83,.807,39,400,36,175,90,36,21,49,1.84,41,13
