Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,171/353,.484,79/101,.782,38,459,61,213,93,50,27,65,1.431,37,19
江郎才尽 理屈词穷 黔驴技穷,152/298,.510,76/95,.800,25,405,39,173,101,27,18,52,1.942,31,19
GUCCI GUCCI,72/146,.493,37/44,.841,26,207,10,66,37,9,4,26,1.423,29,19
SINCE’02,88/185,.476,36/43,.837,32,244,19,82,71,14,11,21,3.381,33,19
INJ CAMP,181/392,.462,103/131,.786,44,509,25,129,93,28,12,53,1.755,36,19
立超's Notable Team,118/260,.454,75/93,.806,36,347,12,106,73,20,11,31,2.355,28,19
Jameson's Nifty Team,142/316,.449,69/94,.734,46,399,25,125,114,42,11,45,2.533,35,19
max,186/409,.455,86/109,.789,72,530,34,168,114,31,38,39,2.923,36,19
Notorious BI3,173/338,.512,62/85,.729,49,457,44,176,92,35,19,55,1.673,30,19
YY,182/323,.563,61/90,.678,31,456,70,218,132,42,19,56,2.357,42,19
sean's Team,230/451,.510,131/168,.780,48,639,75,245,86,41,19,41,2.098,39,19
歪炮 mvp Team,185/420,.440,130/151,.861,62,562,35,185,126,31,18,71,1.775,35,19
水仔,179/365,.490,71/91,.780,39,468,69,246,106,22,23,47,2.255,38,19
波士顿凯子,167/382,.437,43/63,.683,47,424,30,189,133,30,26,53,2.509,40,19
想夺冠的联系我 Cash Only,192/391,.491,102/120,.850,72,558,20,124,136,38,20,76,1.789,35,19
脆皮队,149/329,.453,83/105,.790,32,413,32,146,124,21,12,50,2.480,36,19
