Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,145/308,.471,59/75,.787,46,395,50,176,108,27,21,60,1.800,33,18
Notorious BI3,193/387,.499,75/96,.781,56,517,61,208,87,39,25,67,1.299,30,18
GUCCI GUCCI,61/129,.473,33/39,.846,18,173,16,81,36,16,11,15,2.400,23,18
脆皮队,135/287,.470,57/70,.814,40,367,27,107,100,22,14,39,2.564,28,18
INJ CAMP,110/259,.425,25/39,.641,30,275,18,87,73,28,14,45,1.622,27,18
SINCE’02,86/186,.462,24/33,.727,29,225,20,64,72,13,10,26,2.769,30,18
Jameson's Nifty Team,159/309,.515,64/84,.762,48,430,35,137,79,27,17,49,1.612,32,18
YY,107/213,.502,52/74,.703,19,285,44,160,98,31,20,52,1.885,30,18
max,145/309,.469,63/76,.829,50,403,48,161,92,41,40,36,2.556,30,18
sean's Team,166/303,.548,72/95,.758,26,430,59,171,59,22,17,40,1.475,28,18
水仔,115/234,.491,42/58,.724,28,300,31,141,59,22,14,43,1.372,25,18
歪炮 mvp Team,152/307,.495,82/97,.845,53,439,25,110,78,28,14,50,1.560,25,18
想夺冠的联系我 Cash Only,111/265,.419,64/88,.727,37,323,13,83,79,18,8,36,2.194,26,18
江郎才尽 理屈词穷 黔驴技穷,135/279,.484,43/57,.754,32,345,46,144,88,27,10,44,2.000,27,18
立超's Notable Team,94/216,.435,65/79,.823,30,283,18,69,65,17,6,29,2.241,25,18
芝加哥牛子,143/313,.457,50/58,.862,49,385,29,145,109,29,18,45,2.422,29,18
