Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,198/432,.458,93/122,.762,41,530,59,217,124,30,22,64,1.94,36,13
YY,170/319,.533,89/121,.736,30,459,73,228,122,31,21,56,2.18,39,13
GUCCI GUCCI,133/268,.496,66/77,.857,33,365,34,146,56,13,25,34,1.65,38,13
歪炮 mvp Team,208/437,.476,106/119,.891,66,588,33,164,97,29,13,69,1.41,39,13
INJ CAMP,159/327,.486,98/132,.742,34,450,54,169,99,19,16,49,2.02,36,13
sean's Team,247/495,.499,130/163,.798,89,713,54,219,108,38,17,72,1.50,39,13
Jameson's Nifty Team,162/320,.506,44/60,.733,41,409,40,149,94,31,13,37,2.54,40,13
芝加哥牛子,174/348,.500,48/65,.738,39,435,40,160,134,31,24,40,3.35,41,13
Notorious BI3,230/462,.498,94/122,.770,74,628,45,200,116,27,23,65,1.78,41,13
立超's Notable Team,150/329,.456,85/100,.850,56,441,16,84,113,25,14,35,3.23,29,13
max,158/335,.472,58/74,.784,58,432,31,123,86,19,22,52,1.65,37,13
想夺冠的联系我 Cash Only,195/437,.446,100/129,.775,67,557,26,116,142,21,9,57,2.49,38,13
SINCE’02,125/241,.519,23/36,.639,36,309,29,121,98,26,19,30,3.27,40,13
江郎才尽 理屈词穷 黔驴技穷,176/374,.471,69/80,.863,56,477,53,184,142,29,24,69,2.06,44,13
水仔,178/336,.530,68/91,.747,54,478,57,230,104,34,25,48,2.17,40,13
脆皮队,207/435,.476,92/106,.868,65,571,37,162,156,29,16,60,2.60,45,13
