Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,236/477,.495,97/125,.776,57,626,69,278,138,26,19,65,2.123,38,16
sean's Team,237/492,.482,134/159,.843,81,689,36,198,117,39,14,58,2.017,40,16
GUCCI GUCCI,97/208,.466,52/69,.754,27,273,19,107,54,22,9,24,2.250,36,16
Notorious BI3,146/289,.505,52/65,.800,40,384,36,168,83,27,15,54,1.537,32,16
INJ CAMP,136/287,.474,82/98,.837,32,386,41,128,85,23,16,49,1.735,36,16
江郎才尽 理屈词穷 黔驴技穷,121/265,.457,54/77,.701,37,333,50,156,97,24,25,46,2.109,35,16
Jameson's Nifty Team,172/351,.490,46/57,.807,48,438,45,160,117,32,10,50,2.340,35,16
想夺冠的联系我 Cash Only,195/419,.465,90/118,.763,51,531,39,152,123,37,25,66,1.864,36,16
max,199/448,.444,61/85,.718,64,523,48,198,123,31,30,57,2.158,37,16
水仔,142/309,.460,53/62,.855,42,379,39,169,103,31,12,37,2.784,36,16
SINCE’02,85/167,.509,29/43,.674,29,228,30,92,58,18,7,19,3.053,36,16
立超's Notable Team,162/310,.523,77/89,.865,56,457,29,117,106,28,13,44,2.409,28,16
YY,161/334,.482,74/109,.679,28,424,82,233,135,39,28,60,2.250,38,16
歪炮 mvp Team,198/414,.478,115/141,.816,50,561,30,151,83,26,10,74,1.122,32,16
脆皮队,162/357,.454,92/120,.767,52,468,23,132,123,37,15,59,2.085,36,16
芝加哥牛子,154/309,.498,51/60,.850,42,401,36,160,100,24,20,45,2.222,39,16
