Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,262/521,.503,119/146,.815,70,713,71,243,137,50,19,102,1.34,44,3
Notorious BI3,176/395,.446,85/102,.833,42,479,50,186,106,37,28,64,1.66,41,3
GUCCI GUCCI,195/395,.494,123/148,.831,45,558,41,189,89,27,19,61,1.46,43,3
脆皮队,158/342,.462,86/96,.896,47,449,21,133,103,24,17,60,1.72,39,3
INJ CAMP,238/467,.510,121/162,.747,64,661,36,159,122,25,11,56,2.18,39,3
SINCE’02,106/224,.473,65/80,.813,36,313,49,137,79,24,13,30,2.63,45,3
Jameson's Nifty Team,235/485,.485,91/127,.717,78,639,59,270,146,60,28,91,1.60,45,3
YY,161/315,.511,48/75,.640,25,395,65,198,125,53,23,60,2.08,43,3
max,205/452,.454,60/83,.723,67,537,47,196,132,49,43,58,2.28,42,3
sean's Team,210/431,.487,108/128,.844,48,576,64,230,110,39,27,66,1.67,44,3
水仔,172/336,.512,63/79,.797,46,453,61,185,100,33,20,56,1.79,38,3
歪炮 mvp Team,191/450,.424,118/141,.837,56,556,35,147,92,27,11,74,1.24,34,3
想夺冠的联系我 Cash Only,193/409,.472,118/139,.849,62,566,45,147,129,33,22,83,1.55,38,3
江郎才尽 理屈词穷 黔驴技穷,166/348,.477,62/76,.816,43,437,59,205,146,50,23,70,2.09,41,3
立超's Notable Team,143/315,.454,81/90,.900,57,424,19,91,101,22,8,49,2.06,33,3
芝加哥牛子,191/436,.438,104/124,.839,48,534,55,260,150,40,19,67,2.24,39,3
