Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,292/602,.485,90/120,.750,78,752,80,263,176,57,29,96,1.83,45,15
歪炮 mvp Team,181/370,.489,80/98,.816,52,494,29,154,104,27,15,45,2.31,39,15
GUCCI GUCCI,177/348,.509,98/132,.742,38,490,37,186,90,18,22,50,1.80,39,15
Jameson's Nifty Team,178/397,.448,62/90,.689,53,471,55,201,90,29,27,62,1.45,39,15
INJ CAMP,155/310,.500,97/127,.764,44,451,40,168,117,37,28,43,2.72,39,15
Notorious BI3,236/461,.512,130/169,.769,68,670,63,250,112,37,31,64,1.75,46,15
max,248/529,.469,97/116,.836,66,659,50,227,166,59,36,82,2.02,46,15
YY,185/399,.464,79/104,.760,36,485,82,240,173,50,33,73,2.37,47,15
sean's Team,252/552,.457,117/151,.775,63,684,80,283,99,35,20,63,1.57,42,15
想夺冠的联系我 Cash Only,278/585,.475,133/172,.773,92,781,39,223,170,41,22,87,1.95,43,15
SINCE’02,114/236,.483,21/35,.600,43,292,42,127,110,36,14,42,2.62,46,15
水仔,200/409,.489,49/59,.831,65,514,57,229,120,38,19,53,2.26,41,15
江郎才尽 理屈词穷 黔驴技穷,126/286,.441,28/43,.651,43,323,46,182,69,35,21,35,1.97,42,15
芝加哥牛子,191/391,.488,71/86,.826,53,506,45,199,110,23,19,61,1.80,46,15
立超's Notable Team,206/448,.460,120/147,.816,73,605,35,148,136,37,24,82,1.66,41,15
脆皮队,253/528,.479,117/142,.824,79,702,42,180,159,26,13,87,1.83,45,15
