Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,143/291,.491,68/84,.810,37,391,40,153,97,28,15,53,1.83,37,20
脆皮队,207/389,.532,87/101,.861,55,556,41,149,113,32,17,58,1.95,36,20
GUCCI GUCCI,76/153,.497,32/41,.780,16,200,18,79,34,10,8,14,2.43,28,20
立超's Notable Team,96/195,.492,53/59,.898,33,278,15,106,82,24,6,31,2.65,31,20
INJ CAMP,181/354,.511,64/87,.736,50,476,29,127,113,24,11,51,2.22,35,20
波士顿凯子,201/440,.457,61/73,.836,53,516,52,227,136,32,32,59,2.31,35,20
Jameson's Nifty Team,116/257,.451,37/45,.822,35,304,28,121,74,21,8,44,1.68,32,20
歪炮 mvp Team,195/400,.488,96/110,.873,58,544,22,131,125,29,9,59,2.12,34,20
Notorious BI3,168/366,.459,90/115,.783,51,477,36,179,96,30,12,63,1.52,37,20
max,148/358,.413,82/99,.828,60,438,41,157,104,30,26,47,2.21,37,20
sean's Team,179/366,.489,125/163,.767,48,531,40,160,69,37,24,41,1.68,34,20
水仔,217/391,.555,81/123,.659,43,558,70,234,114,32,23,51,2.24,38,20
SINCE’02,77/164,.470,23/27,.852,27,204,19,81,58,10,13,17,3.41,40,20
想夺冠的联系我 Cash Only,220/452,.487,127/152,.836,75,642,23,150,133,35,17,73,1.82,35,20
YY,151/296,.510,63/88,.716,43,408,61,202,122,25,26,44,2.77,35,20
江郎才尽 理屈词穷 黔驴技穷,157/310,.506,46/57,.807,55,415,43,190,114,34,23,40,2.85,32,20
