Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,192/405,.474,90/119,.756,39,513,44,211,116,33,12,75,1.55,44,21
SINCE’02,109/264,.413,34/45,.756,45,297,36,127,100,28,9,39,2.56,43,21
GUCCI GUCCI,98/191,.513,51/62,.823,13,260,26,90,31,17,9,26,1.19,33,21
波士顿凯子,211/456,.463,78/98,.796,73,573,61,227,172,50,28,75,2.29,41,21
INJ CAMP,164/350,.469,59/77,.766,47,434,30,160,105,13,26,43,2.44,42,21
水仔,219/410,.534,102/128,.797,48,588,81,249,107,41,19,57,1.88,46,21
Jameson's Nifty Team,161/352,.457,55/71,.775,52,429,33,140,111,39,13,34,3.26,40,21
sean's Team,226/401,.564,104/131,.794,52,608,60,204,89,42,15,50,1.78,43,21
Notorious BI3,200/369,.542,74/99,.747,61,535,44,201,91,25,27,55,1.65,41,21
歪炮 mvp Team,183/383,.478,116/137,.847,50,532,18,124,126,24,10,63,2.00,37,21
max,236/510,.463,92/105,.876,70,634,34,185,139,52,34,66,2.11,45,21
江郎才尽 理屈词穷 黔驴技穷,153/337,.454,45/72,.625,48,399,46,184,138,24,25,70,1.97,35,21
YY,212/414,.512,82/107,.766,40,546,101,295,158,43,30,81,1.95,45,21
脆皮队,224/452,.496,120/146,.822,65,633,55,213,143,38,16,77,1.86,45,21
想夺冠的联系我 Cash Only,225/465,.484,130/165,.788,65,645,31,120,130,34,17,79,1.65,46,21
立超's Notable Team,108/232,.466,54/69,.783,35,305,30,104,73,20,11,28,2.61,35,21
