Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,224/442,.507,92/124,.742,60,600,56,205,133,41,15,86,1.55,37,14
max,202/494,.409,113/134,.843,65,582,70,230,149,33,25,84,1.77,41,14
GUCCI GUCCI,203/363,.559,92/115,.800,61,559,39,166,79,27,19,34,2.32,36,14
sean's Team,219/440,.498,108/131,.824,66,612,58,215,77,32,14,52,1.48,32,14
INJ CAMP,152/353,.431,102/132,.773,41,447,31,151,113,29,14,54,2.09,36,14
Jameson's Nifty Team,168/325,.517,56/70,.800,61,453,28,156,116,23,19,42,2.76,33,14
Notorious BI3,201/417,.482,100/124,.806,55,557,50,222,147,38,33,58,2.53,36,14
芝加哥牛子,165/331,.498,81/101,.802,49,460,45,211,139,32,23,65,2.14,38,14
SINCE’02,64/133,.481,17/20,.850,18,163,17,71,64,19,14,16,4.00,34,14
脆皮队,147/346,.425,63/77,.818,50,407,26,122,125,22,10,63,1.98,33,14
水仔,171/374,.457,55/69,.797,62,459,51,210,109,27,22,47,2.32,36,14
YY,140/289,.484,61/79,.772,31,372,61,186,121,45,26,50,2.42,39,14
想夺冠的联系我 Cash Only,180/438,.411,128/154,.831,60,548,25,151,119,23,15,63,1.89,35,14
歪炮 mvp Team,160/346,.462,72/92,.783,51,443,25,132,79,17,10,49,1.61,34,14
江郎才尽 理屈词穷 黔驴技穷,121/253,.478,46/58,.793,34,322,40,137,79,26,19,45,1.76,37,14
立超's Notable Team,222/479,.463,97/113,.858,61,602,37,162,157,46,20,73,2.15,33,14
