Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,248/524,.473,130/164,.793,52,678,62,250,150,38,22,73,2.05,41,5
脆皮队,212/467,.454,134/164,.817,63,621,47,189,187,36,16,84,2.23,41,5
GUCCI GUCCI,153/290,.528,62/71,.873,37,405,39,151,64,25,16,38,1.68,42,5
立超's Notable Team,208/407,.511,109/130,.838,84,609,23,108,121,33,9,70,1.73,30,5
INJ CAMP,152/294,.517,69/87,.793,48,421,25,120,87,16,7,48,1.81,41,5
芝加哥牛子,226/467,.484,82/102,.804,66,600,56,236,158,18,28,74,2.14,39,5
Jameson's Nifty Team,181/380,.476,57/75,.760,67,486,46,214,109,52,23,60,1.82,43,5
歪炮 mvp Team,212/446,.475,129/150,.860,61,614,24,134,104,30,18,66,1.58,31,5
Notorious BI3,185/364,.508,73/87,.839,60,503,54,159,95,31,24,64,1.48,42,5
max,167/369,.453,52/70,.743,51,437,51,172,119,36,30,70,1.70,43,5
sean's Team,179/337,.531,114/147,.776,42,514,53,226,108,43,17,47,2.30,42,5
水仔,211/416,.507,119/163,.730,48,589,71,233,116,34,17,74,1.57,37,5
SINCE’02,122/242,.504,44/60,.733,54,342,25,133,92,18,18,34,2.71,40,5
想夺冠的联系我 Cash Only,219/473,.463,127/155,.819,68,633,32,153,115,39,17,78,1.47,38,5
YY,144/275,.524,78/104,.750,25,391,65,194,111,32,31,47,2.36,39,5
江郎才尽 理屈词穷 黔驴技穷,189/384,.492,94/125,.752,46,518,54,196,153,47,18,70,2.19,41,5
