Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,217/428,.507,99/125,.792,48,581,64,226,152,34,23,63,2.413,32,7
立超's Notable Team,162/332,.488,78/93,.839,50,452,19,88,89,33,9,42,2.119,22,7
GUCCI GUCCI,121/252,.480,52/72,.722,29,323,40,147,61,15,8,34,1.794,31,7
INJ CAMP,119/265,.449,98/111,.883,40,376,29,110,88,18,11,46,1.913,33,7
Jameson's Nifty Team,137/275,.498,49/72,.681,60,383,31,122,71,22,21,29,2.448,32,7
水仔,207/414,.500,80/97,.825,65,559,51,211,110,31,24,62,1.774,33,7
Notorious BI3,111/254,.437,44/63,.698,27,293,31,128,69,14,16,54,1.278,30,7
sean's Team,216/435,.497,92/110,.836,40,564,58,238,101,38,25,62,1.629,34,7
max,157/322,.488,58/70,.829,47,419,27,142,78,27,21,39,2.000,34,7
脆皮队,146/350,.417,104/118,.881,51,447,15,119,165,28,8,64,2.578,34,7
SINCE’02,147/318,.462,37/49,.755,48,379,40,161,116,29,32,33,3.515,31,7
YY,108/204,.529,51/68,.750,18,285,40,145,84,18,20,44,1.909,32,7
想夺冠的联系我 Cash Only,197/398,.495,66/88,.750,55,515,27,127,82,25,20,69,1.188,33,7
芝加哥牛子,214/409,.523,82/100,.820,54,564,44,185,148,40,20,75,1.973,34,7
歪炮 mvp Team,233/457,.510,139/160,.869,81,686,30,169,126,24,12,65,1.938,32,7
江郎才尽 理屈词穷 黔驴技穷,129/287,.449,68/86,.791,29,355,36,136,106,33,12,41,2.585,30,7
