Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,231/477,.484,112/143,.783,56,630,61,229,116,41,28,82,1.41,36,9
INJ CAMP,126/294,.429,72/86,.837,43,367,22,115,84,15,8,34,2.47,33,9
GUCCI GUCCI,83/202,.411,49/63,.778,19,234,20,100,55,11,15,27,2.04,28,9
想夺冠的联系我 Cash Only,156/334,.467,93/125,.744,41,446,23,113,92,22,14,51,1.80,27,9
Jameson's Nifty Team,133/318,.418,71/83,.855,50,387,49,174,98,30,16,40,2.45,29,9
江郎才尽 理屈词穷 黔驴技穷,125/298,.419,57/86,.663,33,340,39,137,115,25,9,54,2.13,30,9
Notorious BI3,158/320,.494,65/91,.714,42,423,65,209,91,27,27,70,1.30,34,9
水仔,124/282,.440,50/74,.676,27,325,46,171,81,28,13,50,1.62,33,9
max,233/458,.509,68/85,.800,80,614,36,182,108,30,29,58,1.86,34,9
立超's Notable Team,132/281,.470,49/59,.831,53,366,31,116,88,18,9,41,2.15,27,9
sean's Team,169/356,.475,81/104,.779,41,460,69,195,78,29,16,47,1.66,29,9
脆皮队,158/336,.470,100/117,.855,45,461,17,112,102,29,19,54,1.89,27,9
SINCE’02,148/301,.492,33/45,.733,44,373,48,167,83,21,21,35,2.37,32,9
歪炮 mvp Team,164/347,.473,105/127,.827,60,493,21,140,89,15,20,53,1.68,26,9
YY,148/272,.544,66/99,.667,24,386,60,168,98,29,31,55,1.78,33,9
芝加哥牛子,210/417,.504,95/115,.826,57,572,34,192,192,44,21,57,3.37,35,9
