Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,157/331,.474,96/118,.814,41,451,49,197,77,36,15,61,1.26,34,1
sean's Team,165/401,.411,104/129,.806,41,475,54,181,93,42,11,77,1.21,30,1
GUCCI GUCCI,182/355,.513,124/149,.832,39,527,30,154,69,29,11,51,1.35,29,1
Notorious BI3,193/388,.497,83/109,.761,57,526,36,165,88,24,15,55,1.60,34,1
INJ CAMP,195/403,.484,85/114,.746,58,533,40,179,116,26,14,62,1.87,31,1
江郎才尽 理屈词穷 黔驴技穷,105/216,.486,47/64,.734,33,290,30,139,74,28,14,41,1.80,33,1
Jameson's Nifty Team,185/439,.421,89/128,.695,58,517,43,218,148,41,17,70,2.11,36,1
想夺冠的联系我 Cash Only,187/357,.524,111/139,.799,42,527,24,128,91,22,17,84,1.08,32,1
max,167/371,.450,76/96,.792,49,459,30,166,84,34,42,48,1.75,30,1
水仔,138/289,.478,107/143,.748,33,416,61,214,67,30,19,65,1.03,32,1
SINCE’02,89/199,.447,41/59,.695,14,233,44,136,45,30,16,38,1.18,33,1
立超's Notable Team,185/354,.523,125/150,.833,79,574,13,100,107,35,20,59,1.81,34,1
YY,115/241,.477,65/95,.684,24,319,43,150,113,27,15,45,2.51,33,1
歪炮 mvp Team,171/353,.484,105/124,.847,58,505,22,134,107,18,2,42,2.55,26,1
脆皮队,176/376,.468,80/95,.842,62,494,28,124,109,17,10,55,1.98,32,1
芝加哥牛子,140/305,.459,84/104,.808,32,396,38,164,102,27,23,59,1.73,30,1
