Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,276/592,.466,111/143,.776,82,745,68,293,151,50,27,94,1.61,54,17
Jameson's Nifty Team,259/501,.517,95/140,.679,73,686,81,261,161,53,31,79,2.04,53,17
GUCCI GUCCI,88/220,.400,60/73,.822,31,267,23,113,44,25,14,34,1.29,48,17
江郎才尽 理屈词穷 黔驴技穷,184/380,.484,75/97,.773,40,483,54,224,111,41,23,70,1.59,50,17
INJ CAMP,217/477,.455,92/122,.754,66,592,45,209,125,55,22,62,2.02,50,17
脆皮队,278/602,.462,137/163,.840,94,787,42,218,205,50,29,87,2.36,53,17
Notorious BI3,245/500,.490,137/183,.749,67,694,88,308,117,36,29,80,1.46,49,17
想夺冠的联系我 Cash Only,269/577,.466,125/157,.796,86,749,69,212,147,48,24,103,1.43,56,17
max,216/475,.455,104/124,.839,53,589,43,220,124,41,39,62,2.00,47,17
歪炮 mvp Team,193/428,.451,137/153,.895,53,576,25,189,123,32,11,73,1.68,45,17
sean's Team,236/465,.508,116/151,.768,53,641,52,195,125,33,15,55,2.27,49,17
YY,197/391,.504,84/121,.694,44,522,89,259,176,61,36,82,2.15,51,17
SINCE’02,129/273,.473,53/61,.869,43,354,22,118,102,29,15,26,3.92,50,17
芝加哥牛子,212/419,.506,91/120,.758,62,577,45,225,160,39,37,89,1.80,48,17
水仔,245/512,.479,117/143,.818,58,665,77,298,167,48,19,87,1.92,56,17
立超's Notable Team,234/494,.474,134/160,.838,63,665,34,161,170,46,20,83,2.05,44,17
