Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,222/451,.492,69/98,.704,68,581,60,263,116,39,36,82,1.41,44,12
水仔,210/437,.481,56/82,.683,57,533,68,260,145,30,25,77,1.88,45,12
GUCCI GUCCI,124/284,.437,85/104,.817,20,353,41,162,75,25,23,51,1.47,45,12
max,194/452,.429,85/99,.859,57,530,41,207,105,43,42,68,1.54,43,12
INJ CAMP,187/388,.482,82/114,.719,38,494,49,185,136,32,18,74,1.84,42,12
歪炮 mvp Team,216/467,.463,75/97,.773,62,569,34,169,118,24,14,61,1.93,36,12
Jameson's Nifty Team,157/343,.458,63/87,.724,47,424,50,163,75,36,15,50,1.50,43,12
立超's Notable Team,159/365,.436,77/88,.875,54,449,19,97,113,31,13,59,1.92,35,12
Notorious BI3,185/376,.492,68/85,.800,54,492,62,233,98,36,25,62,1.58,44,12
SINCE’02,176/376,.468,44/58,.759,58,454,46,171,141,36,26,53,2.66,42,12
sean's Team,269/542,.496,102/142,.718,70,710,64,251,130,49,19,80,1.63,46,12
芝加哥牛子,185/400,.463,61/77,.792,49,480,67,235,139,36,23,53,2.62,41,12
YY,198/395,.501,100/135,.741,39,535,81,269,170,42,34,71,2.39,44,12
想夺冠的联系我 Cash Only,232/547,.424,101/135,.748,70,635,27,160,147,31,13,78,1.88,40,12
江郎才尽 理屈词穷 黔驴技穷,175/363,.482,70/95,.737,40,460,42,161,133,39,19,56,2.38,45,12
脆皮队,238/505,.471,107/120,.892,91,674,41,196,165,48,18,101,1.63,41,12
