Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,239/463,.516,115/153,.752,70,663,51,231,129,37,21,63,2.05,40,23
Notorious BI3,238/487,.489,97/135,.719,56,629,51,222,133,28,21,76,1.75,44,23
max,232/471,.493,99/116,.853,65,628,65,240,133,37,27,56,2.38,50,23
YY,238/434,.548,102/139,.734,53,631,60,230,190,43,22,58,3.28,45,23
sean's Team,184/369,.499,114/140,.814,40,522,56,208,94,31,18,54,1.74,40,23
波士顿凯子,252/487,.517,106/132,.803,69,679,62,281,157,39,36,69,2.28,43,23
水仔,198/391,.506,78/98,.796,36,510,66,228,114,37,25,62,1.84,42,23
脆皮队,199/447,.445,139/178,.781,52,589,42,188,193,40,20,72,2.68,43,23
