Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,254/506,.502,134/161,.832,67,709,66,265,174,48,27,75,2.32,41,4
江郎才尽 理屈词穷 黔驴技穷,199/406,.490,91/120,.758,58,547,78,246,142,58,24,82,1.73,43,4
GUCCI GUCCI,153/270,.567,56/74,.757,32,394,29,152,68,26,14,45,1.51,42,4
SINCE’02,117/260,.450,49/69,.710,27,310,29,121,75,22,13,25,3.00,40,4
INJ CAMP,165/396,.417,94/121,.777,48,472,49,169,127,29,21,56,2.27,41,4
立超's Notable Team,171/386,.443,114/129,.884,62,518,27,155,106,25,11,57,1.86,31,4
Jameson's Nifty Team,189/400,.473,62/77,.805,68,508,58,198,121,36,18,71,1.70,42,4
max,181/435,.416,99/113,.876,62,523,48,184,118,32,26,55,2.15,35,4
Notorious BI3,154/320,.481,93/113,.823,38,439,30,171,100,30,25,67,1.49,43,4
YY,152/306,.497,92/115,.800,33,429,75,218,145,44,21,63,2.30,42,4
sean's Team,175/347,.504,109/135,.807,52,511,41,167,78,31,11,62,1.26,40,4
歪炮 mvp Team,248/524,.473,153/182,.841,84,733,35,199,138,29,16,65,2.12,35,4
水仔,211/427,.494,80/106,.755,66,568,88,258,160,44,25,91,1.76,44,4
芝加哥牛子,204/427,.478,93/124,.750,61,562,42,208,153,35,30,62,2.47,38,4
想夺冠的联系我 Cash Only,265/553,.479,184/223,.825,54,768,41,187,165,43,25,83,1.99,43,4
脆皮队,212/434,.488,109/125,.872,66,599,38,162,142,25,19,72,1.97,44,4
