Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
麦阿蜜,99/208,.476,63/75,.840,23,284,22,95,81,25,6,37,2.189,16,8
芝加哥牛子,62/121,.512,21/28,.750,11,156,12,59,66,8,9,21,3.143,14,8
GUCCI GUCCI,71/119,.597,25/33,.758,17,184,10,47,30,4,8,18,1.667,14,8
水仔,91/189,.481,48/57,.842,32,262,34,134,55,21,7,20,2.750,16,8
INJ CAMP,44/95,.463,21/25,.840,17,126,10,39,30,16,7,13,2.308,14,8
想夺冠的联系我 Cash Only,113/217,.521,65/84,.774,31,322,7,66,45,5,1,28,1.607,16,8
Jameson's Nifty Team,67/132,.508,27/35,.771,20,181,16,76,30,13,7,14,2.143,16,8
Notorious BI3,104/214,.486,24/36,.667,29,261,23,89,60,17,6,28,2.143,17,8
max,68/155,.439,40/50,.800,15,191,20,61,42,11,5,13,3.231,15,8
SINCE’02,92/204,.451,35/43,.814,30,249,21,96,47,17,14,20,2.350,17,8
sean's Team,82/152,.539,38/51,.745,16,218,16,80,30,13,13,12,2.500,15,8
江郎才尽 理屈词穷 黔驴技穷,74/143,.517,24/32,.750,13,185,18,80,62,12,9,20,3.100,16,8
YY,48/89,.539,19/31,.613,8,123,26,72,51,15,8,20,2.550,14,8
立超's Notable Team,80/175,.457,40/50,.800,35,235,17,53,38,15,1,27,1.407,14,8
歪炮 mvp Team,71/157,.452,31/38,.816,22,195,4,41,45,7,3,28,1.607,10,8
脆皮队,110/209,.526,44/54,.815,27,291,12,78,68,16,13,31,2.194,15,8
