Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,216/451,.479,105/124,.847,54,591,72,229,101,27,27,54,1.87,43,18
江郎才尽 理屈词穷 黔驴技穷,153/320,.478,78/93,.839,51,435,33,178,99,41,19,40,2.48,35,18
GUCCI GUCCI,264/562,.470,107/124,.863,88,723,51,232,147,30,15,65,2.26,43,18
INJ CAMP,176/386,.456,85/111,.766,49,486,54,190,113,30,21,49,2.31,41,18
Jinwei's Swag Team,153/332,.461,51/68,.750,49,406,44,155,119,45,26,48,2.48,44,18
脆皮队,211/446,.473,82/114,.719,57,561,40,161,118,28,21,59,2.00,41,18
Jameson's Nifty Team,231/457,.505,104/128,.813,45,611,53,243,102,25,25,53,1.92,45,18
waterbro is godlike's Rad Team,167/320,.522,61/75,.813,54,449,37,139,77,21,15,37,2.08,44,18
max,182/357,.510,87/108,.806,53,504,43,171,150,29,20,52,2.88,40,18
立超's Notable Team,137/291,.471,72/87,.828,39,385,18,110,59,23,8,35,1.69,32,18
🍵茶🍵,225/480,.469,60/85,.706,60,570,49,198,187,56,17,64,2.92,46,18
YY,264/539,.490,133/165,.806,62,723,56,295,188,46,20,91,2.07,44,18
sean's Team,148/309,.479,98/123,.797,24,418,45,170,89,21,19,49,1.82,37,18
想夺冠的联系我 Cash Only,148/319,.464,68/95,.716,28,392,57,164,98,35,13,56,1.75,38,18
SINCE’02,184/356,.517,75/95,.789,35,478,70,230,124,41,28,52,2.38,46,18
歪炮 mvp Team,150/350,.429,95/112,.848,49,444,8,96,143,14,15,56,2.55,37,18
