Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
季后赛守门员,182/326,.558,51/70,.729,52,467,29,161,83,25,15,31,2.68,35,20
🍵茶🍵,218/458,.476,92/115,.800,82,610,58,249,169,48,18,81,2.09,43,20
GUCCI GUCCI,251/531,.473,143/176,.813,77,722,42,183,144,34,16,98,1.47,40,20
立超's Notable Team,113/283,.399,54/66,.818,31,311,17,92,75,24,7,36,2.08,32,20
Jinwei's Swag Team,150/339,.442,54/72,.750,56,410,43,152,113,26,23,45,2.51,43,20
想夺冠的联系我 Cash Only,122/257,.475,61/84,.726,30,335,32,133,92,27,15,50,1.84,33,20
Jameson's Nifty Team,190/357,.532,78/107,.729,42,500,60,195,93,21,34,53,1.75,44,20
YY,283/579,.489,85/111,.766,64,715,72,265,171,62,31,96,1.78,42,20
max,220/420,.524,70/88,.795,68,578,55,217,117,34,21,60,1.95,43,20
waterbro is godlike's Rad Team,149/274,.544,69/93,.742,52,419,33,158,57,18,20,47,1.21,38,20
sean's Team,123/258,.477,74/102,.725,33,353,19,116,90,19,11,42,2.14,36,20
INJ CAMP,151/329,.459,65/84,.774,44,411,39,153,118,22,15,57,2.07,44,20
脆皮队,165/365,.452,58/76,.763,66,454,36,147,85,22,19,36,2.36,41,20
SINCE’02,173/342,.506,83/107,.776,50,479,57,174,150,28,20,60,2.50,42,20
歪炮 mvp Team,101/220,.459,65/73,.890,38,305,17,78,94,19,13,50,1.88,34,20
江郎才尽 理屈词穷 黔驴技穷,160/314,.510,51/71,.718,46,417,51,191,105,25,23,51,2.06,35,20
