Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,169/323,.523,86/113,.761,23,447,70,252,149,26,42,49,3.041,30,14
Michael Chow's Team,199/385,.517,62/78,.795,55,515,19,141,141,25,13,56,2.518,33,14
Alex's Team,202/433,.467,64/81,.790,53,521,69,239,118,31,38,59,2.000,31,14
CWB Shams,214/416,.514,59/70,.843,69,556,27,142,134,37,15,56,2.393,36,14
Deng's Team,130/280,.464,59/76,.776,26,345,42,162,67,19,15,33,2.030,36,14
Goodtime Brother,191/384,.497,87/104,.837,56,525,36,159,165,24,11,86,1.919,36,14
GiannisISmySON,223/486,.459,100/130,.769,56,602,32,185,136,30,19,53,2.566,39,14
甄姬拔菜,193/384,.503,94/117,.803,45,525,53,228,132,39,27,70,1.886,35,14
Kojima Production,243/473,.514,119/148,.804,82,687,29,165,112,24,6,59,1.898,34,14
sean's Dazzling Team,105/207,.507,32/45,.711,29,271,34,96,48,20,13,24,2.000,25,14
Luke's Team,202/419,.482,113/150,.753,46,563,50,212,171,46,19,73,2.342,40,14
离岛落得慢,151/298,.507,61/69,.884,54,417,23,107,96,23,14,35,2.743,26,14
TST WATER CANNON,153/330,.464,65/78,.833,47,418,22,153,65,28,17,36,1.806,31,14
达里安人阿闹,178/344,.517,56/80,.700,41,453,51,205,101,30,29,53,1.906,37,14
