Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,140/260,.538,50/62,.806,26,356,45,216,130,28,15,41,3.171,31,3
Alex's Team,210/432,.486,69/86,.802,77,566,54,196,124,39,39,68,1.824,33,3
CWB Shams,137/287,.477,35/39,.897,40,349,24,113,100,22,13,48,2.083,34,3
GiannisISmySON,164/383,.428,79/104,.760,55,462,34,176,125,32,22,54,2.315,34,3
Deng's Team,174/332,.524,66/81,.815,48,462,46,188,87,18,29,53,1.642,35,3
Kojima Production,218/461,.473,95/111,.856,66,597,29,156,114,35,11,72,1.583,32,3
Goodtime Brother,188/404,.465,78/89,.876,62,516,36,139,147,30,18,51,2.882,34,3
TST WATER CANNON,204/400,.510,103/121,.851,65,576,30,164,86,26,23,64,1.344,34,3
Luke's Team,171/391,.437,69/91,.758,38,449,49,173,134,37,24,69,1.942,34,3
甄姬拔菜,169/345,.490,79/104,.760,29,446,56,192,115,26,24,58,1.983,32,3
Michael Chow's Team,197/413,.477,80/94,.851,81,555,49,216,150,34,28,59,2.542,35,3
sean's Dazzling Team,165/337,.490,76/97,.784,35,441,45,158,86,27,12,52,1.654,32,3
离岛落得慢,164/368,.446,104/122,.852,62,494,22,123,93,31,17,65,1.431,32,3
达里安人阿闹,207/423,.489,80/103,.777,48,542,50,188,118,33,19,59,2.000,31,3
