Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,120/235,.511,36/48,.750,36,312,49,172,102,35,16,40,2.550,40,20
Kojima Production,147/286,.514,52/66,.788,57,403,23,111,70,17,18,48,1.458,41,20
Alex's Team,147/293,.502,42/54,.778,41,377,35,146,63,21,21,44,1.432,29,20
GiannisISmySON,222/457,.486,98/130,.754,55,597,52,200,150,31,16,76,1.974,42,20
CWB Shams,173/370,.468,85/101,.842,62,493,30,136,118,35,12,66,1.788,39,20
Michael Chow's Team,213/460,.463,71/95,.747,68,565,48,206,123,46,30,88,1.398,39,20
Deng's Team,172/321,.536,64/93,.688,54,462,55,194,98,20,31,48,2.042,38,20
达里安人阿闹,160/319,.502,90/114,.789,41,451,59,187,107,26,24,43,2.488,36,20
Goodtime Brother,177/328,.540,74/94,.787,46,474,23,132,121,25,11,56,2.161,31,20
sean's Dazzling Team,64/154,.416,24/28,.857,24,176,20,86,35,9,13,21,1.667,26,20
Luke's Team,202/377,.536,71/102,.696,48,523,43,195,144,38,20,54,2.667,35,20
TST WATER CANNON,90/181,.497,49/55,.891,25,254,10,73,42,9,8,24,1.750,31,20
甄姬拔菜,191/374,.511,80/110,.727,53,515,63,210,130,33,19,71,1.831,40,20
离岛落得慢,133/321,.414,76/100,.760,49,391,12,81,76,26,10,38,2.000,29,20
