Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
GiannisISmySON,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
Alex's Team,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
sean's Dazzling Team,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
CWB Shams,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
甄姬拔菜,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
Deng's Team,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
Michael Chow's Team,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
Goodtime Brother,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
离岛落得慢,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
Kojima Production,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
TST WATER CANNON,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
Luke's Team,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
达里安人阿闹,/,/,/,/,/,/,/,/,/,/,/,/,/,0,15
