Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,122/242,.504,65/94,.691,23,332,57,220,109,36,19,43,2.535,28,12
TST WATER CANNON,92/187,.492,37/44,.841,24,245,20,87,50,17,12,28,1.786,20,12
Alex's Team,197/372,.530,67/86,.779,56,517,52,232,114,31,35,52,2.192,29,12
达里安人阿闹,147/314,.468,64/84,.762,31,389,29,135,76,28,19,36,2.111,28,12
CWB Shams,182/363,.501,76/86,.884,68,508,29,143,115,34,14,45,2.556,31,12
离岛落得慢,162/356,.455,71/86,.826,55,450,33,122,108,34,11,49,2.204,27,12
Deng's Team,158/323,.489,51/70,.729,38,405,51,170,90,24,13,54,1.667,25,12
sean's Dazzling Team,88/194,.454,41/65,.631,20,237,29,104,67,18,11,30,2.233,20,12
GiannisISmySON,111/271,.410,57/71,.803,38,317,26,93,69,23,5,35,1.971,25,12
Luke's Team,132/273,.484,63/96,.656,29,356,46,157,89,33,17,51,1.745,24,12
Goodtime Brother,143/306,.467,82/96,.854,53,421,20,99,110,31,11,50,2.200,26,12
Michael Chow's Team,111/254,.437,31/42,.738,48,301,14,82,88,23,12,40,2.200,26,12
Kojima Production,172/348,.494,55/74,.743,60,459,25,133,91,33,9,37,2.459,27,12
甄姬拔菜,149/253,.589,48/63,.762,23,369,48,172,78,26,13,33,2.364,28,12
