Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,196/356,.551,78/94,.830,24,494,87,270,148,50,25,67,2.21,39,13
离岛落得慢,229/501,.457,141/166,.849,79,678,48,226,132,36,20,64,2.06,42,13
Alex's Team,196/389,.504,82/96,.854,62,536,53,167,109,40,23,52,2.10,33,13
Goodtime Brother,176/407,.432,71/91,.780,50,473,28,161,130,35,19,79,1.65,38,13
CWB Shams,181/378,.479,69/89,.775,69,500,23,115,108,25,8,58,1.86,35,13
Luke's Team,179/370,.484,83/111,.748,39,480,55,186,128,38,27,83,1.54,34,13
Deng's Team,155/334,.464,85/110,.773,33,428,62,219,114,37,33,51,2.24,43,13
甄姬拔菜,217/414,.524,134/166,.807,39,607,78,235,141,45,28,60,2.35,39,13
GiannisISmySON,173/401,.431,75/92,.815,47,468,48,211,134,25,12,70,1.91,35,13
达里安人阿闹,205/448,.458,85/109,.780,49,544,52,211,114,35,26,71,1.61,44,13
Kojima Production,202/454,.445,85/98,.867,72,561,31,137,123,30,14,62,1.98,35,13
Michael Chow's Team,190/421,.451,76/91,.835,58,514,45,190,143,25,25,53,2.70,39,13
sean's Dazzling Team,117/270,.433,63/77,.818,38,335,37,121,68,25,22,43,1.58,32,13
TST WATER CANNON,157/316,.497,53/67,.791,45,412,30,149,64,28,18,47,1.36,31,13
