Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,162/306,.529,71/101,.703,26,421,81,243,121,33,26,57,2.12,46,4
Goodtime Brother,201/452,.445,139/154,.903,83,624,46,179,149,33,25,80,1.86,41,4
Alex's Team,305/594,.513,108/145,.745,103,821,60,258,150,46,34,85,1.76,43,4
甄姬拔菜,200/391,.512,89/114,.781,37,526,70,233,124,41,39,53,2.34,42,4
CWB Shams,205/444,.462,71/78,.910,60,541,42,179,145,39,28,66,2.20,42,4
Kojima Production,304/636,.478,118/148,.797,96,822,40,211,159,47,20,90,1.77,43,4
Deng's Team,139/305,.456,70/84,.833,35,383,40,163,74,26,13,47,1.57,43,4
Luke's Team,210/423,.496,101/126,.802,45,566,73,233,142,46,45,65,2.18,43,4
GiannisISmySON,230/530,.434,107/130,.823,75,642,58,237,152,41,18,83,1.83,39,4
Michael Chow's Team,187/408,.458,73/98,.745,69,516,40,201,157,48,21,60,2.62,43,4
sean's Dazzling Team,144/336,.429,50/56,.893,55,393,24,149,97,39,22,52,1.87,44,4
达里安人阿闹,247/532,.464,128/155,.826,65,687,80,260,166,39,25,93,1.78,45,4
TST WATER CANNON,222/463,.479,108/127,.850,68,620,42,205,111,42,22,75,1.48,42,4
离岛落得慢,194/422,.460,95/119,.798,89,572,44,199,105,46,19,50,2.10,45,4
