Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,189/357,.529,71/96,.740,38,487,54,252,156,48,21,65,2.400,39,7
Kojima Production,256/547,.468,120/138,.870,82,714,48,239,134,48,31,91,1.473,43,7
Alex's Team,237/494,.480,75/99,.758,71,620,49,196,116,36,33,80,1.450,44,7
GiannisISmySON,268/571,.469,122/153,.797,94,752,49,251,158,48,19,87,1.816,46,7
CWB Shams,226/499,.453,97/120,.808,86,635,18,146,169,47,26,77,2.195,47,7
Michael Chow's Team,253/553,.458,95/118,.805,94,695,47,249,195,51,31,88,2.216,47,7
Deng's Team,221/457,.484,93/111,.838,79,614,50,213,142,44,17,71,2.000,47,7
达里安人阿闹,206/400,.515,77/96,.802,63,552,60,246,107,45,30,63,1.698,43,7
Goodtime Brother,196/447,.438,106/126,.841,65,563,36,170,162,38,10,96,1.688,41,7
sean's Dazzling Team,173/332,.521,54/70,.771,48,448,38,161,97,34,29,49,1.980,41,7
Luke's Team,214/453,.472,122/167,.731,34,584,65,240,181,55,29,90,2.011,46,7
TST WATER CANNON,162/354,.458,58/72,.806,51,433,28,141,83,33,12,70,1.186,42,7
甄姬拔菜,282/526,.536,119/153,.778,49,732,103,301,141,50,29,77,1.831,45,7
离岛落得慢,208/460,.452,102/129,.791,80,598,32,175,150,35,19,77,1.948,40,7
