Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,190/356,.534,49/65,.754,38,467,59,219,146,46,25,59,2.475,36,22
Michael Chow's Team,198/427,.464,83/102,.814,63,542,58,253,150,29,25,79,1.899,43,22
Alex's Team,158/314,.503,73/91,.802,34,423,52,182,85,15,13,44,1.932,28,22
CWB Shams,128/261,.490,57/65,.877,48,361,23,109,112,11,13,49,2.286,35,22
Luke's Team,187/385,.486,93/117,.795,52,519,38,174,168,37,16,57,2.947,34,22
离岛落得慢,102/216,.472,42/52,.808,34,280,9,72,62,22,12,32,1.938,28,22
甄姬拔菜,237/458,.517,118/151,.781,56,648,72,238,169,53,29,89,1.899,37,22
达里安人阿闹,184/386,.477,70/93,.753,49,487,47,204,117,29,15,68,1.721,35,22
