Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,176/352,.500,70/98,.714,33,455,85,280,133,43,39,74,1.80,45,9
Deng's Team,205/429,.478,101/121,.835,56,567,71,233,141,27,23,70,2.01,42,9
Alex's Team,254/494,.514,82/106,.774,95,685,54,236,125,31,45,66,1.89,38,9
Luke's Team,135/287,.470,63/85,.741,46,379,47,174,121,35,22,54,2.24,39,9
CWB Shams,261/517,.505,83/99,.838,83,688,17,131,143,38,15,81,1.77,43,9
TST WATER CANNON,187/420,.445,94/110,.855,56,524,45,179,82,27,18,57,1.44,31,9
GiannisISmySON,240/526,.456,104/132,.788,60,644,62,232,125,37,25,75,1.67,45,9
离岛落得慢,143/328,.436,69/80,.863,49,404,35,139,120,20,9,43,2.79,37,9
Goodtime Brother,205/411,.499,81/96,.844,54,545,50,201,139,38,17,75,1.85,42,9
Kojima Production,244/509,.479,114/143,.797,86,688,40,218,118,40,28,61,1.93,37,9
Michael Chow's Team,210/477,.440,84/102,.824,74,578,42,215,180,41,29,62,2.90,45,9
达里安人阿闹,212/468,.453,106/131,.809,61,591,54,194,122,31,27,60,2.03,42,9
sean's Dazzling Team,153/384,.398,60/74,.811,39,405,43,184,102,32,18,48,2.13,42,9
甄姬拔菜,213/401,.531,116/145,.800,35,577,71,242,144,29,25,60,2.40,41,9
