Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,172/328,.524,59/85,.694,21,424,80,303,151,46,28,79,1.91,42,10
sean's Dazzling Team,140/300,.467,43/54,.796,40,363,21,138,72,27,15,50,1.44,43,10
Alex's Team,257/501,.513,92/113,.814,72,678,62,273,132,46,28,68,1.94,45,10
离岛落得慢,177/403,.439,75/92,.815,72,501,29,134,120,35,12,68,1.76,35,10
CWB Shams,200/448,.446,81/93,.871,73,554,40,144,141,45,23,45,3.13,44,10
Deng's Team,167/347,.481,48/63,.762,36,418,61,229,90,25,18,57,1.58,43,10
GiannisISmySON,179/369,.485,75/96,.781,50,483,40,190,116,29,15,68,1.71,41,10
TST WATER CANNON,202/446,.453,88/100,.880,66,558,26,169,106,33,15,80,1.33,42,10
Goodtime Brother,252/543,.464,131/166,.789,86,721,52,236,179,40,13,86,2.08,42,10
甄姬拔菜,243/487,.499,112/135,.830,41,639,64,279,167,51,36,70,2.39,41,10
Kojima Production,255/546,.467,88/112,.786,81,679,42,199,117,46,15,76,1.54,42,10
达里安人阿闹,177/363,.488,65/90,.722,49,468,42,168,97,25,22,59,1.64,46,10
Luke's Team,199/443,.449,100/134,.746,39,537,68,245,186,40,27,80,2.33,45,10
Michael Chow's Team,299/595,.503,98/126,.778,103,799,48,249,199,46,31,94,2.12,47,10
