Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,172/321,.536,51/69,.739,30,425,65,242,157,52,31,63,2.49,47,17
Goodtime Brother,232/523,.444,107/125,.856,74,645,46,201,207,43,21,102,2.03,47,17
Alex's Team,212/455,.466,67/88,.761,53,544,68,247,117,35,25,56,2.09,40,17
甄姬拔菜,259/447,.579,140/179,.782,50,708,67,288,143,44,27,75,1.91,45,17
CWB Shams,243/518,.469,75/92,.815,92,653,35,160,184,46,17,67,2.75,44,17
Kojima Production,292/597,.489,110/143,.769,112,806,50,233,144,41,22,69,2.09,50,17
Deng's Team,145/314,.462,58/68,.853,40,388,34,141,92,25,18,41,2.24,48,17
Luke's Team,245/501,.489,148/186,.796,54,692,59,265,190,47,31,73,2.60,45,17
GiannisISmySON,221/482,.459,128/164,.780,57,627,49,218,177,42,22,97,1.82,47,17
Michael Chow's Team,216/460,.470,76/97,.784,85,593,56,223,161,37,21,86,1.87,44,17
sean's Dazzling Team,154/347,.444,65/78,.833,64,437,38,149,79,25,15,48,1.65,33,17
达里安人阿闹,196/419,.468,83/102,.814,56,531,62,228,119,33,22,67,1.78,46,17
TST WATER CANNON,134/297,.451,55/68,.809,40,363,26,134,62,22,9,45,1.38,37,17
离岛落得慢,205/505,.406,102/120,.850,93,605,54,180,131,50,17,91,1.44,43,17
