Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,104/227,.458,69/97,.711,16,293,49,193,100,23,22,59,1.69,34,1
Michael Chow's Team,149/327,.456,65/76,.855,60,423,23,155,118,36,18,46,2.57,33,1
Alex's Team,182/395,.461,86/111,.775,57,507,41,183,110,36,21,69,1.59,32,1
CWB Shams,157/332,.473,86/102,.843,67,467,26,127,82,30,13,57,1.44,33,1
Deng's Team,175/322,.543,100/133,.752,31,481,48,183,86,17,26,58,1.48,36,1
Goodtime Brother,160/352,.455,86/119,.723,62,468,36,136,93,33,19,51,1.82,33,1
GiannisISmySON,183/448,.408,81/103,.786,70,517,40,174,106,29,20,65,1.63,30,1
甄姬拔菜,170/368,.462,72/97,.742,43,455,77,242,114,57,29,59,1.93,35,1
Kojima Production,217/482,.450,104/130,.800,62,600,27,155,121,26,24,75,1.61,32,1
sean's Dazzling Team,185/431,.429,100/146,.685,58,528,61,235,116,29,32,56,2.07,33,1
Luke's Team,175/340,.515,113/152,.743,37,500,59,209,139,28,25,83,1.67,31,1
离岛落得慢,171/380,.450,139/165,.842,58,539,39,142,105,28,13,63,1.67,30,1
TST WATER CANNON,203/469,.433,119/151,.788,60,585,33,178,77,32,20,73,1.05,35,1
达里安人阿闹,162/371,.437,92/105,.876,50,466,46,193,102,37,35,69,1.48,33,1
