Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,71/139,.511,15/18,.833,16,173,21,76,53,15,10,22,2.41,21,19
CWB Shams,98/203,.483,52/57,.912,28,276,13,61,66,21,4,28,2.36,21,19
Alex's Team,149/275,.542,53/65,.815,29,380,39,145,66,28,14,27,2.44,22,19
Deng's Team,82/157,.522,45/57,.789,23,232,19,77,46,7,10,21,2.19,18,19
GiannisISmySON,60/120,.500,15/23,.652,11,146,25,65,42,6,11,20,2.10,15,19
sean's Dazzling Team,40/94,.426,26/29,.897,16,122,10,41,31,10,2,10,3.10,16,19
Goodtime Brother,102/216,.472,41/56,.732,34,279,25,89,93,19,5,50,1.86,20,19
Luke's Team,56/132,.424,47/55,.855,11,170,21,74,54,14,12,23,2.35,13,19
Kojima Production,41/105,.390,12/16,.750,12,106,16,50,33,5,2,11,3.00,16,19
离岛落得慢,69/177,.390,32/40,.800,35,205,17,56,78,19,5,32,2.44,18,19
Michael Chow's Team,94/190,.495,41/55,.745,37,266,27,89,76,27,11,39,1.95,20,19
TST WATER CANNON,66/134,.493,26/32,.813,27,185,8,53,20,7,10,17,1.18,19,19
甄姬拔菜,138/270,.511,65/84,.774,34,375,48,144,78,19,15,49,1.59,22,19
达里安人阿闹,88/200,.440,35/46,.761,28,239,31,107,56,12,12,28,2.00,22,19
