Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,180/350,.514,71/103,.689,35,466,81,299,154,55,28,66,2.33,45,11
达里安人阿闹,169/370,.457,58/82,.707,49,445,52,198,119,27,21,47,2.53,43,11
Alex's Team,172/364,.473,76/92,.826,65,485,42,174,107,28,28,58,1.84,34,11
Michael Chow's Team,199/435,.457,96/116,.828,68,562,49,209,137,43,23,53,2.58,46,11
CWB Shams,236/480,.492,86/104,.827,74,632,29,169,161,34,21,64,2.52,47,11
Goodtime Brother,263/556,.473,110/139,.791,65,701,38,188,183,41,26,81,2.26,48,11
Deng's Team,222/465,.477,80/110,.727,55,579,80,260,118,36,31,68,1.74,38,11
离岛落得慢,226/517,.437,97/119,.815,93,642,38,176,139,47,16,79,1.76,44,11
GiannisISmySON,166/346,.480,57/70,.814,49,438,42,173,116,28,19,62,1.87,42,11
Kojima Production,246/561,.439,110/150,.733,79,681,58,226,104,39,14,83,1.25,39,11
Luke's Team,210/423,.496,79/116,.681,43,542,83,271,140,42,38,73,1.92,44,11
sean's Dazzling Team,191/412,.464,62/89,.697,59,503,48,198,108,39,30,52,2.08,46,11
TST WATER CANNON,247/538,.459,98/120,.817,92,684,31,181,115,35,20,64,1.80,45,11
甄姬拔菜,197/387,.509,80/103,.777,27,501,72,253,110,35,30,54,2.04,44,11
