Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,154/312,.494,48/73,.658,20,376,77,260,130,52,23,40,3.25,48,18
甄姬拔菜,274/532,.515,100/130,.769,57,705,91,268,181,52,34,74,2.45,47,18
Alex's Team,228/448,.509,77/99,.778,61,594,70,260,96,30,29,54,1.78,42,18
TST WATER CANNON,137/266,.515,68/77,.883,34,376,21,104,64,16,11,30,2.13,36,18
CWB Shams,236/488,.484,98/121,.810,74,644,49,168,142,36,17,58,2.45,44,18
sean's Dazzling Team,120/289,.415,54/64,.844,52,346,19,116,68,20,17,37,1.84,37,18
Deng's Team,182/377,.483,86/104,.827,49,499,69,225,123,43,29,55,2.24,45,18
GiannisISmySON,249/516,.483,131/171,.766,65,694,44,258,144,42,19,94,1.53,49,18
Goodtime Brother,249/532,.468,125/153,.817,67,690,38,175,176,44,17,82,2.15,45,18
达里安人阿闹,187/391,.478,76/102,.745,36,486,45,186,122,25,21,52,2.35,48,18
Kojima Production,216/470,.460,107/129,.829,65,604,42,205,132,30,24,62,2.13,47,18
Luke's Team,229/487,.470,123/156,.788,46,627,65,233,160,37,19,77,2.08,42,18
Michael Chow's Team,216/461,.469,95/120,.792,66,593,65,270,159,36,21,57,2.79,45,18
离岛落得慢,248/534,.464,148/175,.846,91,735,38,187,159,37,17,69,2.30,42,18
