Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,127/237,.536,38/58,.655,14,306,75,209,114,35,23,57,2.000,29,16
Alex's Team,108/222,.486,50/59,.847,28,294,25,118,61,18,17,30,2.033,25,16
CWB Shams,169/361,.468,64/72,.889,56,458,24,118,137,25,10,44,3.114,27,16
GiannisISmySON,120/277,.433,78/99,.788,36,354,32,135,87,14,6,49,1.776,29,16
Deng's Team,109/233,.468,56/74,.757,20,294,37,157,52,20,23,43,1.209,28,16
Kojima Production,142/301,.472,61/78,.782,50,395,25,109,59,22,10,34,1.735,25,16
Goodtime Brother,155/341,.455,78/91,.857,38,426,27,149,111,24,20,49,2.265,28,16
TST WATER CANNON,160/338,.473,64/74,.865,41,425,20,109,57,30,15,40,1.425,24,16
Luke's Team,162/325,.498,80/97,.825,38,442,39,138,117,32,18,69,1.696,27,16
甄姬拔菜,175/341,.513,79/107,.738,36,465,40,188,105,34,16,49,2.143,26,16
Michael Chow's Team,196/422,.464,81/106,.764,57,530,39,188,146,39,20,73,2.000,29,16
sean's Dazzling Team,97/219,.443,24/38,.632,34,252,15,90,50,16,16,28,1.786,23,16
离岛落得慢,118/278,.424,52/65,.800,40,328,20,101,89,23,9,43,2.070,22,16
达里安人阿闹,168/337,.499,67/80,.838,45,448,48,174,90,23,28,46,1.957,28,16
