Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,157/287,.547,46/67,.687,27,387,67,227,104,32,27,54,1.93,39,5
甄姬拔菜,200/387,.517,105/136,.772,42,547,70,244,111,49,24,66,1.68,39,5
Alex's Team,207/439,.472,62/90,.689,60,536,57,233,141,42,26,56,2.52,41,5
TST WATER CANNON,219/477,.459,103/122,.844,87,628,54,214,93,32,19,59,1.58,41,5
CWB Shams,166/395,.420,64/81,.790,72,468,32,137,109,31,25,55,1.98,41,5
sean's Dazzling Team,138/330,.418,84/104,.808,43,403,45,165,103,38,25,59,1.75,42,5
Deng's Team,152/295,.515,56/77,.727,49,409,46,166,75,26,18,46,1.63,38,5
GiannisISmySON,209/479,.436,85/106,.802,81,584,38,174,127,33,22,71,1.79,38,5
Goodtime Brother,241/507,.475,111/138,.804,81,674,33,181,156,33,27,84,1.86,44,5
达里安人阿闹,208/445,.467,94/114,.825,59,569,66,236,141,24,28,67,2.10,40,5
Kojima Production,265/540,.491,116/146,.795,79,725,45,208,124,39,19,85,1.46,42,5
Luke's Team,186/411,.453,85/120,.708,39,496,71,258,191,43,33,80,2.39,42,5
Michael Chow's Team,144/307,.469,63/86,.733,60,411,33,168,127,14,27,57,2.23,37,5
离岛落得慢,201/487,.413,127/151,.841,65,594,42,198,159,41,23,71,2.24,43,5
