Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,145/268,.541,52/70,.743,22,364,53,220,120,39,27,57,2.105,31,6
CWB Shams,178/375,.475,49/58,.845,61,466,31,112,109,30,16,44,2.477,34,6
Alex's Team,189/373,.507,50/62,.806,59,487,46,171,87,19,33,48,1.812,30,6
Deng's Team,177/380,.466,76/92,.826,53,483,33,179,97,19,15,66,1.470,34,6
GiannisISmySON,129/300,.430,52/67,.776,63,373,21,113,91,35,8,50,1.820,32,6
sean's Dazzling Team,116/248,.468,71/89,.798,27,330,28,135,73,30,20,43,1.698,32,6
Goodtime Brother,140/302,.464,83/100,.830,40,403,28,127,96,23,20,46,2.087,30,6
Luke's Team,137/302,.454,64/82,.780,37,375,36,154,154,38,19,72,2.139,32,6
Kojima Production,181/392,.462,70/89,.787,60,492,28,144,106,24,10,61,1.738,31,6
离岛落得慢,182/400,.455,70/87,.805,66,500,38,173,139,38,22,55,2.527,29,6
Michael Chow's Team,174/368,.473,67/84,.798,67,482,32,171,125,28,17,67,1.866,32,6
TST WATER CANNON,188/391,.481,69/88,.784,59,504,48,193,106,33,24,70,1.514,34,6
甄姬拔菜,182/362,.503,87/114,.763,35,486,53,202,117,38,26,44,2.659,30,6
达里安人阿闹,185/370,.500,85/110,.773,54,509,56,228,116,23,29,53,2.189,32,6
