Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,333/642,.519,153/190,.805,84,903,67,286,200,62,34,78,2.56,44,10
Kojima Production,230/492,.467,164/207,.792,70,694,50,193,165,40,13,86,1.92,43,10
Alex's Team,244/474,.515,93/117,.795,71,652,66,258,165,39,22,81,2.04,43,10
TST WATER CANNON,284/598,.475,152/185,.822,65,785,48,223,180,40,32,80,2.25,45,10
CWB Shams,153/382,.401,50/64,.781,73,429,32,136,97,30,25,46,2.11,37,10
GiannisISmySON,245/474,.517,107/143,.748,49,646,48,238,108,22,29,68,1.59,43,10
Deng's Team,267/578,.462,132/179,.737,76,742,47,232,180,39,21,84,2.14,44,10
达里安人阿闹,175/366,.478,66/85,.776,67,483,34,195,118,27,20,58,2.03,41,10
Goodtime Brother,258/517,.499,106/140,.757,73,695,38,220,174,24,23,73,2.38,43,10
甄姬拔菜,210/388,.541,73/97,.753,51,544,54,215,139,38,27,52,2.67,42,10
Luke's Team,192/383,.501,84/117,.718,51,519,59,215,112,38,44,49,2.29,44,10
sean's Dazzling Team,124/289,.429,40/52,.769,56,344,29,116,139,34,17,35,3.97,42,10
Michael Chow's Team,300/598,.502,146/175,.834,92,838,51,266,171,36,39,80,2.14,50,10
离岛落得慢,230/477,.482,143/176,.813,57,660,42,231,151,31,26,71,2.13,44,10
