Team,FGM/A,FG%,FTM/A,FT%,3PTM,PTS,OREB,REB,AST,ST,BLK,TO,A/T,GP,Week
WW,241/479,.503,81/113,.717,51,614,59,262,155,27,25,57,2.72,47,15
达里安人阿闹,275/554,.496,106/125,.848,82,738,55,272,153,42,32,77,1.99,49,15
Alex's Team,230/463,.497,94/125,.752,38,592,80,276,154,39,28,69,2.23,48,15
CWB Shams,268/565,.474,80/98,.816,105,721,48,221,142,43,40,60,2.37,46,15
Deng's Team,278/559,.497,119/148,.804,83,758,50,221,178,40,24,81,2.20,46,15
sean's Dazzling Team,189/410,.461,68/85,.800,73,519,55,216,131,34,29,57,2.30,49,15
GiannisISmySON,282/547,.516,113/144,.785,66,743,54,253,153,39,25,88,1.74,45,15
离岛落得慢,198/408,.485,124/144,.861,41,561,35,149,145,30,19,70,2.07,36,15
Goodtime Brother,333/661,.504,124/159,.780,59,849,76,346,183,64,32,84,2.18,47,15
Michael Chow's Team,250/521,.480,122/171,.713,54,676,67,312,197,40,37,78,2.53,52,15
Kojima Production,243/509,.477,106/129,.822,95,687,46,171,153,28,6,66,2.32,42,15
TST WATER CANNON,223/484,.461,126/151,.834,49,621,52,197,136,38,39,64,2.13,41,15
Luke's Team,172/378,.455,59/75,.787,43,446,56,213,126,32,38,58,2.17,47,15
甄姬拔菜,210/449,.468,89/110,.809,47,556,67,215,167,29,30,51,3.27,48,15
